,internalTaxonId,scientificName,name,language,main
521,161731,Pteroplatytrygon violacea,Pelagic Stingray,English,True
525,126710128,Mobula hypostoma,Atlantic Devilray,English,True
526,162144,Anthyllis hystrix,Socarrell gros,Catalan; Valencian,True
528,162229,Ophrys melitensis,Maltse Spider Orchid,English,True
540,162499,Sepioloidea lineolata,Striped Pyjama Squid,English,True
620,162547,Idiosepius notoides,Southern Pygmy Squid,English,True
659,162565,Loligo forbesii,Lula,Portuguese,True
664,162571,Octopus vulgaris,Polvo-comum,Portuguese,True
668,162574,Sepioloidea pacifica,Pacific Bobtail Squid,English,True
685,162587,Spirula spirula,Ram's Horn Squid,English,True
710,162604,Idiosepius pygmaeus,Two-toned Pygmy Squid,English,True
738,162627,Sepia apama,Giant Australian Cuttlefish,English,True
775,162657,Idiosepius paradoxus,Northern Pygmy Squid,English,True
788,162662,Sepia aculeata,Jam Mak Yue,Chinese,True
890,16287,Partula emersoni,Pohnpei tree snail,English,True
891,16289,Partula guamensis,Pohnpei ground Partula snail,English,True
892,162901,Uroteuthis vossi,Voss' Squid,English,True
893,162906,Helicocranchia pfefferi,Banded Piglet Squid,English,True
895,162910,Chtenopteryx sicula,Comb-finned Squid,English,True
896,162920,Afrololigo mercatoris,Guinean Thumbstall Squid,English,True
897,162923,Loliolus uyii,Little Squid,English,True
898,162935,Pickfordiateuthis pulchella,Grass Squid,English,True
899,162940,Uroteuthis bengalensis,Bengal Squid,English,True
901,162959,Dosidicus gigas,Humboldt Squid,English,True
902,162969,Uroteuthis duvauceli,Indian Squid,English,True
903,162973,Pickfordiateuthis vossi,Voss' Grass Squid,English,True
904,162981,Uroteuthis edulis,Swordtip Squid,English,True
905,162985,Doryteuthis ocula,Bigeye Inshore Squid,English,True
906,162997,Doryteuthis opalescens,Opalescent Inshore Squid,English,True
907,163017,Heterololigo bleekeri,Spear Squid,English,True
910,163018,Macrochlaena winckworthi,Winckworth's octopus,English,True
911,163020,Doryteuthis plei,Tropical Arrow Squid,English,True
912,163025,Selenoteuthis scintillans,Moon Squid,English,True
913,163027,Alloteuthis media,Midsize Squid,English,True
914,163041,Loliolus beka,Beka Squid,English,True
916,163045,Uroteuthis chinensis,Mitre Squid,English,True
919,163047,Eledone massyae,Combed Octopus,English,True
920,163049,Uroteuthis pickfordi,Flores Island Squid,English,True
923,163058,Lolliguncula argus,Argus Brief Squid,English,True
924,163067,Sandalops melancholicus,Sandal-eye Squid,English,True
926,163076,Pteroctopus tetracirrhus,Fourhorn Octopus,English,True
928,163081,Lolliguncula brevis,Thumbstall Squid,English,True
929,163082,Tremoctopus gelatus,Gelatinous Blanket Octopus,English,True
930,163097,Loliolus hardwickei,Little Indian Squid,English,True
931,163108,Batoteuthis skolops,Bush-club Squid,English,True
932,163115,Uroteuthis bartschi,Bartsch's Squid,English,True
933,163119,Enteroctopus californicus,North Pacific Bigeye Octopus,English,True
934,163122,Uroteuthis abulati,Red Sea Squid,English,True
936,163131,Onykia ingens,Greater Hooked Squid,English,True
938,163139,Doryteuthis gahi,Patagonian Longfin Squid,English,True
939,163146,Watasenia scintillans,Japanese Firefly Squid,English,True
940,163148,Uroteuthis noctiluca,Luminous Bay Squid,English,True
941,163165,Doryteuthis pealeii,Long-finned Inshore Squid,English,True
942,163170,Mesonychoteuthis hamiltoni,Colossal squid,English,True
943,163171,Doryteuthis surinamensis,Suriname Inshore Squid,English,True
944,163182,Lolliguncula panamensis,Panama Brief Squid,English,True
945,163189,Todarodes sagittatus,Pota-europeia,Portuguese,True
946,163196,Uroteuthis arabica,Needle Squid,English,True
948,163205,Doryteuthis sanpaulensis,Longfine Inshore Squid,English,True
949,163213,Loliolus japonica,Japanese Squid,English,True
950,163220,Alloteuthis subulata,European Common Squid,English,True
951,163224,Octopus oculifer,Galapogos octopus,English,True
952,163228,Thysanoteuthis rhombus,Diamondback squid,English,True
953,163230,Uroteuthis singhalensis,Long Barrel Squid,English,True
954,163233,Uroteuthis robsoni,Robson's Squid,English,True
955,163244,Uroteuthis reesi,Rees' Squid,English,True
957,163246,Illex argentinus,Argentine Squid,English,True
958,163247,Berryteuthis anonychus,Minimal armhook squid,English,True
959,163273,Loliolus sumatrensis,Kobi Squid,English,True
960,163280,Octopus tetricus,Common Sydney Octopus,Australian languages,True
961,163288,Bathyteuthis abyssicola,Deepsea Squid,English,True
963,163301,Scaergus unicirrhus,Polpo riccio,Italian,True
967,163311,Martialia hyadesi,Black Squid,English,True
969,163313,Enteroctopus megalocyathus,Red Octopus,English,True
970,163318,Sepioteuthis sepioidea,Caribbean Reef Squid,English,True
972,163339,Octopus tehuelchus,Tehuelche Octopus,English,True
973,163356,Sepioteuthis australis,Southern Calamari,English,True
974,163367,Lolliguncula diomedeae,Dart Squid,English,True
977,163376,Sepioteuthis lessoniana,Bigfin Reef Squid,English,True
978,163379,Loliolus affinis,Steenstrup's Bay Squid,English,True
979,163383,Uroteuthis sibogae,Siboga Squid,English,True
980,163393,Alloteuthis africana,African Squid,English,True
981,163397,Enteroctopus conispadiceus,Chestnut Octopus,English,True
984,163440,Pelusios niger,West African Black Mud Turtle,English,True
986,163448,Cycloderma aubryi,Aubry's Flapshell Turtle,English,True
992,163449,Stigmochelys pardalis,Leopard Tortoise,English,True
996,163968,Primula boveana,Sinai Primrose,English,True
998,163990,Eleocharis palustris,Common Spike-rush,English,True
1004,164036,Veronica anagallis-aquatica,Blue Water-speedwell,English,True
1007,164064,Phalaris arundinacea,Reed Canary-grass,English,True
1014,164156,Alopecurus aequalis,Orange Foxtail,English,True
1017,164175,Ranunculus sceleratus,Celery-leaved Buttercup,English,True
1022,164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,True
1023,164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,True
1024,164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,True
1025,164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,True
1031,164276,Bolboschoenus maritimus,Sea Club-Rush,English,True
1033,164279,Juncus tingitanus,Jonc de Tanger,French,True
1047,164281,Nymphaea lotus,Lotus,Arabic,True
1052,164311,Nasturtium officinale,Water-cress,English,True
1056,164335,Myriophyllum verticillatum,Whorled leaf water milfoil,English,True
1057,164335,Myriophyllum verticillatum,Whorled Water-milfoil,English,True
1063,164340,Arundo donax,Giant Reed,English,True
1067,164347,Epilobium hirsutum,Great Willowherb,English,True
1073,164380,Echinochloa colona,Blé du Dekkan,French,True
1076,164440,Zannichellia obtusifolia,Zannichellie à Feuilles Obtuses,French,True
1077,164444,Callitriche pulchra,Beautiful water-starwort,English,True
1081,164450,Epilobium parviflorum,Hoary Willowherb,English,True
1085,164512,Catabrosa aquatica,Whorl-grass,English,True
1089,164521,Potentilla supina,Potentille Couchée,French,True
1103,164567,Trapelus ruderatus,Horny-scaled Agama,English,True
1105,164598,Alsophylax laevis,Southern Even-fingered Gecko,English,True
1108,164599,Cerastes gasperettii,Arabian Horned Viper,English,True
1117,164611,Paralaudakia caucasia,Caucasian Rock Agama,English,True
1121,164620,Teratoscincus keyserlingii,Keyserling's Wonder Gecko,English,True
1122,164626,Eremias scripta,Sand Racerunner,English,True
1130,164643,Diplometopon zarudnyi,Zarudnyi's Worm Lizard,English,True
1134,164651,Scincus mitranus,Arabian Sandfish,English,True
1140,164669,Tenuidactylus turcmenicus,Turkmenian Thin-toed Gecko,English,True
1143,131681739,Pristurus rupestris,Rock Semaphore Gecko,English,True
1148,164699,Pseudoceramodactylus khobarensis,Gulf Short-fingered Gecko,English,True
1149,164703,Tenuidactylus longipes,Nikolsky's Long-toed Gecko,English,True
1150,164714,Eremias lineolata,Striped Racerunner,English,True
1151,164715,Teratoscincus bedriagai,Bedriaga's Plate-tailed Gecko,English,True
1154,164738,Eryx jayakari,Arabian Sand Boa,English,True
1155,164746,Eremias intermedia,Aralo-Caspian Racerunner,English,True
1165,16475,Pegasus laternarius,Brick Seamoth,English,True
1166,164764,Eremias nigrocellata,Black-ocellated Racerunner,English,True
1172,164769,Lytorhynchus diadema,Common Leaf-nosed Snake,English,True
1178,164777,Trapelus sanguinolentus,Steppe Agama,English,True
1184,164893,Brachirus harmandi,Harmand's Sole,English,True
1185,165121,Lycopodium madeirense,Madeira Clubmoss,English,True
1186,165231,Asplenium azoricum,Azorean Spleenwort,English,True
1187,165452,Crypsis minuartioides,Compressed Pricklegrass,English,True
1189,165454,Ventenata blanchei,بلجريه بلانش,Arabic,True
1192,165457,Iris grant-duffii,Grant Duff's Iris,English,True
1194,166004,Schizothorax griseus,灰裂腹魚 ,Chinese,True
1198,166005,Sinibotia pulchra,Golden Zebra Loach,English,True
1200,166018,Pseudogobio guilinensis,桂林似鮈,Chinese,True
1201,166021,Channa asiatica,Small snakehead,English,True
1203,166031,Sineleotris chalmersi,海南細齒塘鱧,Chinese,True
1207,166035,Leptobotia elongata,Elongate Loach,English,True
1209,166036,Schizothorax yunnanensis,云南裂腹鱼  ,Chinese,True
1212,166043,Luciocyprinus langsoni,Shuttle-like Carp,English,True
1220,166051,Macropodus opercularis,Paradise fish ,English,True
1223,166054,Gobiobotia kolleri,海南鳅鮀,Chinese,True
1227,166058,Sinibotia robusta,Cá Chạch cát sáu sọc,Vietnamese,True
1231,166059,Osteochilus salsburyi,纹唇鱼,Chinese,True
1233,166062,Schistura incerta,无斑条鳅 ,Chinese,True
1235,166072,Onychostoma ovale,卵形白甲鱼,Chinese,True
1238,166076,Erromyzon sinensis,Cá Chạch bám nguyên,Vietnamese,True
