,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
31435,9565630,3068,Brennania belkini,ANIMALIA,ARTHROPODA,DIPTERA,INSECTA,TABANIDAE,Brennania,belkini,,,,"Philip, 1966",Vulnerable,A2ce,2.3,,Global
33313,9774224,3338,Burmagomphus sivalikensis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Burmagomphus,sivalikensis,,,,"Laidlaw, 1922",Least Concern,,3.1,Unknown,Global
33900,9857015,3438,Caconemobius howarthi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TRIGONIDIIDAE,Caconemobius,howarthi,,,,"Gurney &amp; Rentz, 1978",Vulnerable,D2,2.3,,Global
33912,9858482,3439,Caconemobius schauinslandi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TRIGONIDIIDAE,Caconemobius,schauinslandi,,,,"(Alfken, 1901)",Vulnerable,D2,2.3,,Global
33959,9863349,3440,Caconemobius varius,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TRIGONIDIIDAE,Caconemobius,varius,,,,"Gurney &amp; Rentz, 1978",Vulnerable,"B1+2bd, C2a",2.3,,Global
35266,9987808,3628,Calopteryx syriaca,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CALOPTERYGIDAE,Calopteryx,syriaca,,,,"Rambur, 1842",Endangered,A2c,3.1,Decreasing,Global & Mediterranean
35730,10033880,3718,Camponotus universitatis,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Camponotus,universitatis,,,,"Forel, 1890",Vulnerable,D2,2.3,,Global
35736,10034887,3719,Campsicnemus mirabilis,ANIMALIA,ARTHROPODA,DIPTERA,INSECTA,DOLICHOPODIDAE,Campsicnemus,mirabilis,,,,"(Grimshaw, 1902)",Extinct,,2.3,,Global
36583,10114589,3846,Carabus olympiae,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CARABIDAE,Carabus,olympiae,,,,"Sella, 1855",Vulnerable,A1acd+2c,2.3,,Global
36635,10119437,3844,Capys penningtoni,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Capys,penningtoni,,,,"Riley, 1932",Vulnerable,D2,2.3,,Global
36637,10120005,3845,Carabus intricatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CARABIDAE,Carabus,intricatus,,,,"Linnaeus, 1761",Lower Risk/near threatened,,2.3,,Global
36687,10136257,3857,Cardiocondyla zoserka,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Cardiocondyla,zoserka,,,,"Bolton, 1982",Vulnerable,D2,2.3,,Global
37161,10191863,39312,Aglaothorax longipennis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Aglaothorax,longipennis,,,,"Rentz &amp; Weissman, 1981",Critically Endangered,B1+2bd,2.3,,Global
