,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
189,0,0,0,0,0,0,0,Australimyzidae
190,0,0,0,0,0,0,0,Austroleptidae
191,0,0,0,0,0,0,0,Axymyiidae
192,801740,48186,169042,29,39,1,193,Bibionidae
193,0,0,0,0,0,0,0,Blephariceridae
194,859354,64019,103621,36,40,1,366,Bombyliidae
195,0,0,0,0,0,0,0,Braulidae
196,703683,24093,94718,21,18,0,106,Calliphoridae
197,0,0,0,0,0,0,0,Canthyloscelidae
198,20093715,179082,173330,6313,340,45,19585,Carnidae
199,157554,4282,8483,5,2,0,24,Cecidomyiidae
200,100705,9078,4819,20,6,1,85,Ceratopogonidae
201,4330,482,374,0,1,0,1,Chaoboridae
202,1315569,18605,132068,20,22,0,113,Chironomidae
203,100503,6875,45184,11,15,1,144,Chloropidae
204,1803,124,66,0,0,0,12,Chyromyidae
205,0,0,0,0,0,0,0,Clusiidae
206,0,0,0,0,0,0,0,Coelopidae
207,233136,13198,49878,21,8,2,82,Conopidae
208,0,0,0,0,0,0,0,Corethrellidae
209,2347500,47001,209900,165,46,12,397,Culicidae
210,0,0,0,0,0,0,0,Deuterophlebiidae
211,28183,851,549,0,1,0,0,Diadocidiidae
212,56427,2862,18590,61,19,11,414,Diopsidae
213,0,0,0,0,0,0,0,Dixidae
214,306908,7784,22432,9,3,0,21,Dolichopodidae
215,271492,5090,126309,2,3,2,41,Drosophilidae
216,18946,3878,3262,0,2,0,1,Dryomyzidae
217,194818,13229,36217,6,16,0,66,Empididae
218,162344,1625,1276,0,0,0,1,Ephydridae
219,434,32,22,0,0,0,0,Fanniidae
220,0,0,0,0,0,0,0,Fergusoninidae
221,72481,3221,1838,6,0,0,8,Glossinidae
222,0,0,0,0,0,0,0,Helcomyzidae
223,0,0,0,0,0,0,0,Helosciomyzidae
224,0,0,0,0,0,0,0,Hesperinidae
225,0,0,0,0,0,0,0,Heterocheilidae
226,0,0,0,0,0,0,0,Hilarimorphidae
227,33697,1455,5013,2,1,0,1,Hippoboscidae
228,81051,4001,13183,0,2,0,5,Hybotidae
229,205975,6661,4507,1,1,2,11,Keroplatidae
230,79028,2635,9179,12,2,0,53,Lauxaniidae
231,15541,2913,3893,0,1,0,2,Lonchaeidae
232,52002,2230,5520,6,3,0,67,Lonchopteridae
233,28183,851,549,0,1,0,0,Lygistorrhinidae
234,0,0,0,0,0,0,0,Marginidae
235,146596,4427,100711,3,6,1,69,Micropezidae
236,25,13,8,0,0,0,1,Milichiidae
237,555606,15438,31430,13,6,0,46,Muscidae
238,184407,6588,6265,5,2,0,29,Mycetophilidae
239,39960,4426,39121,20,19,2,340,Mydidae
240,143,212,81,0,1,0,2,Mythicomyiidae
241,3390,134,125,0,0,0,0,Nemestrinidae
242,0,0,0,0,0,0,0,Neurochaetidae
243,116390,5145,3865,1,5,1,20,Nycteribiidae
244,0,0,0,0,0,0,0,Odiniidae
245,48568,1182,47415,3,5,0,28,Oestridae
246,0,0,0,0,0,0,0,Opomyzidae
247,13206,1779,4637,1,0,0,10,Pachyneuridae
248,129,106,69,0,2,0,2,Pallopteridae
249,0,0,0,0,0,0,0,Pelecorhynchidae
250,0,0,0,0,0,0,0,Periscelididae
251,0,0,0,0,0,0,0,Perissommatidae
252,71060,3820,45044,1,4,0,55,Phoridae
253,0,0,0,0,0,0,0,Piophilidae
254,2017,20,103,0,0,0,0,Pipunculidae
255,0,0,0,0,0,0,0,Platypezidae
256,19820,3568,7467,1,0,1,7,Platystomatidae
257,0,0,0,0,0,0,0,Pleciidae
258,2268,868,7136,10,1,1,70,Psilidae
259,297385,15901,70311,41,16,6,247,Psychodidae
260,12299,4731,3654,1,4,0,14,Ptychopteridae
261,8019,371,3311,2,0,0,9,Pyrgotidae
262,258518,6105,3202,0,0,0,1,Rhagionidae
263,84549,2553,1647,0,0,0,7,Rhinophoridae
264,28183,851,549,0,0,0,3,Richardiidae
265,495899,30067,63298,51,26,9,244,Sarcophagidae
266,128283,7879,12585,18,5,0,90,Scathophagidae
267,34405,598,46457,0,1,0,1,Scatopsidae
268,177914,3,56,0,0,0,0,Scenopinidae
269,0,0,0,0,0,0,0,Sciardoceridae
270,381192,5092,104909,4,9,0,46,Sciaridae
271,225838,10585,45927,1,6,0,34,Sciomyzidae
272,150858,5982,13110,14,6,0,54,Sepsidae
273,392742,22761,80713,12,19,3,128,Simuliidae
274,0,0,0,0,0,0,0,Somatiidae
275,54540,3185,10660,0,1,0,3,Sphaeroceridae
276,72726,7453,46697,3,9,1,51,Stratiomyidae
277,0,0,0,0,0,0,0,Streblidae
278,84549,2553,1647,0,0,0,2,Strongylophthalmyiidae
279,0,0,0,0,0,0,0,Synneuridae
280,1981016,94204,393201,134,67,14,685,Syrphidae
281,282307,64930,72220,12,3,1,62,Tabanidae
282,395861,20755,43586,43,18,2,244,Tachinidae
283,0,0,0,0,0,0,0,Tanyderidae
284,970657,11903,104576,22,15,1,144,Tephritidae
285,0,0,0,0,0,0,0,Thaumaleidae
286,50548,3285,14558,22,3,2,84,Therevidae
287,1309809,56017,751499,270,139,40,2613,Tipulidae
288,67337,7762,16119,3,3,0,25,Trichoceridae
289,157404,1856,1505,1,1,0,24,Ulidiidae
290,0,0,0,0,0,0,0,Vermileonidae
291,0,0,0,0,0,0,0,Xenasteiidae
292,0,0,0,0,0,0,0,Xylomyidae
293,40836,0,10,0,0,0,0,Xylophagidae
294,0,0,0,0,0,0,0,Anisembiidae
295,0,0,0,0,0,0,0,Australembiidae
296,0,0,0,0,0,0,0,Clothodidae
297,0,0,0,0,0,0,0,Embiidae
298,0,0,0,0,0,0,0,Notoligotomidae
299,0,0,0,0,0,0,0,Oligotomidae
300,0,0,0,0,0,0,0,Teratembiidae
301,0,0,0,0,0,0,0,Acanthametropodidae
302,0,0,0,0,0,0,0,Ameletidae
303,0,0,0,0,0,0,0,Ameletopsidae
304,0,0,0,0,0,0,0,Ametropodidae
305,1511301,9598,26290,5,3,0,14,Baetidae
306,0,0,0,0,0,0,0,Baetiscidae
307,0,0,0,0,0,0,0,Behningiidae
308,5487378,66156,53026,5,27,0,9,Caenidae
309,0,0,0,0,0,0,0,Coloburiscidae
310,0,0,0,0,0,0,0,Dipteromimidae
311,0,0,0,0,0,0,0,Ephemerellidae
312,8172,789,859,0,0,0,0,Ephemeridae
313,7197,2,136,0,0,0,0,Euthyplociidae
314,42429,734,5469,0,2,0,2,Heptageniidae
315,0,0,0,0,0,0,0,Ichthybotidae
316,3451,1607,1508,0,1,0,7,Isonychiidae
317,0,0,0,0,0,0,0,Leptohyphidae
318,39407,757,4966,0,1,0,9,Leptophlebiidae
319,0,0,0,0,0,0,0,Metretopodidae
320,0,0,0,0,0,0,0,Neoephemeridae
321,0,0,0,0,0,0,0,Nesameletidae
322,0,0,0,0,0,0,0,Oligoneuriidae
323,0,0,0,0,0,0,0,Oniscigastridae
324,0,0,0,0,0,0,0,Palingeniidae
325,0,0,0,0,0,0,0,Polymitarcyidae
326,0,0,0,0,0,0,0,Potamanthidae
327,680,386,536,5,4,0,24,Prosopistomatidae
328,0,0,0,0,0,0,0,Rallidentidae
329,0,0,0,0,0,0,0,Siphlaenigmatidae
330,0,0,0,0,0,0,0,Siphlonuridae
331,0,0,0,0,0,0,0,Teloganodidae
332,0,0,0,0,0,0,0,Tricorythidae
334,76163,3546,3317,2,1,1,16,Acanthosomatidae
335,0,0,0,0,0,0,0,Achilidae
336,0,0,0,0,0,0,0,Achilixiidae
337,0,0,0,0,0,0,0,Aetalionidae
338,0,0,0,0,0,0,0,Aleyrodoidea
339,284298,6991,56636,0,3,0,16,Alydidae
340,7101,1235,2531,0,2,0,2,Anthocoridae
341,0,0,0,0,0,0,0,Aphelocheiridae
342,29138,1929,3789,0,2,0,4,Aphidoidea
343,12951,1959,1872,12,2,0,44,Aphrophoridae
344,17977,652,816,0,0,0,0,Aradidae
345,237936,21753,239688,34,34,18,738,Belostomatidae
346,2994,546,3384,0,0,0,8,Berytidae
347,7197,2,136,0,0,0,0,Caliscelidae
348,0,0,0,0,0,0,0,Canopidae
349,196333,2802,41842,10,17,5,154,Cercopidae
350,731778,13918,256904,107,68,16,1027,Cicadellidae
351,939763,71700,380114,205,70,28,816,Cicadidae
352,324535,3183,5053,10,4,2,2,Cimicidae
353,57270,652,8122,1,0,0,3,Cixiidae
354,6887,159,20870,1,1,0,54,Clastopteridae
355,101289,5277,54443,13,4,2,33,Coccoidea
356,0,0,0,0,0,0,0,Colobathristidae
357,912600,59782,666029,77,89,13,1125,Coreidae
358,62512,4640,8840,0,2,0,4,Corixidae
359,61876,3606,1882,0,2,0,7,Cydnidae
360,40066,6412,10995,0,1,0,7,Delphacidae
361,44594,385,45612,11,18,5,192,Derbidae
362,10016,2307,4548,1,2,0,27,Dictyopharidae
363,30443,3,3857,0,0,0,1,Dinidoridae
364,61793,1439,5449,3,2,1,12,Dipsocoridae
365,0,0,0,0,0,0,0,Epipygidae
366,0,0,0,0,0,0,0,Enicocephalidae
367,0,0,0,0,0,0,0,Eurybrachyidae
368,22560,4862,7372,0,0,0,4,Flatidae
369,208257,1744,11481,75,6,2,280,Fulgoridae
370,0,0,0,0,0,0,0,Gelastocoridae
