,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count,num_tweets_with_sentiment,mean_sentiment_polarity,standard_deviation_sentiment_polarity,sentiment_analysis_transformer_mean,sentiment_analysis_transformer_sd
212,212,212,212,56427,2862,18590,61,19,11,414,Diopsidae,5,4,0.08443452380952382,0.09751317211447726,-0.49761171638965607,0.9834416733399745
213,213,213,213,0,0,0,0,0,0,0,Dixidae,0,0,,,,
214,214,214,214,306908,7784,22432,9,3,0,21,Dolichopodidae,15,9,0.1210906685906686,0.12149793285664867,-0.22841831048329672,0.9247089303574366
215,215,215,215,271492,5090,126309,2,3,2,41,Drosophilidae,11,9,0.28030303030303033,0.3145335578996229,-0.1380237274699741,0.9966561212978552
216,216,216,216,18946,3878,3262,0,2,0,1,Dryomyzidae,2,2,0.013988095238095244,0.16120351023479032,-0.9926817715167999,0.0032229273587795555
217,217,217,217,194818,13229,36217,6,16,0,66,Empididae,26,22,0.3890002295684114,0.3417072502858824,-0.5948834879831835,0.722493748279433
218,218,218,218,162344,1625,1276,0,0,0,1,Ephydridae,3,3,-0.1,0.17320508075688773,-0.9694532752037048,0.019094523348240144
219,219,219,219,434,32,22,0,0,0,0,Fanniidae,1,1,0.28200000000000003,0.0,0.9989998936653137,0.0
220,220,220,220,0,0,0,0,0,0,0,Fergusoninidae,0,0,,,,
221,221,221,221,72481,3221,1838,6,0,0,8,Glossinidae,3,2,0.0,0.0,-0.9891009330749512,0.008254038812373488
222,222,222,222,0,0,0,0,0,0,0,Helcomyzidae,0,0,,,,
223,223,223,223,0,0,0,0,0,0,0,Helosciomyzidae,0,0,,,,
224,224,224,224,0,0,0,0,0,0,0,Hesperinidae,0,0,,,,
225,225,225,225,0,0,0,0,0,0,0,Heterocheilidae,0,0,,,,
226,226,226,226,0,0,0,0,0,0,0,Hilarimorphidae,0,0,,,,
